,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
56,6.281675005,1912823.97,5.241470902,6.063383182,174369.6526,1157132.74,3
57,6.298840858,1989944.013,5.247884437,6.070153988,176963.8007,1175314.214,3
58,6.31600671,2070173.335,5.254297972,6.076924795,179596.5427,1193781.365,3
59,6.333172563,2153637.293,5.260711507,6.083695602,182268.4527,1212538.682,3
60,6.350338415,2240466.298,5.267125042,6.090466409,184980.1135,1231590.723,3
61,6.367504268,2330796.021,5.273538576,6.097237216,187732.1165,1250942.12,3
62,6.384670121,2424767.601,5.279952111,6.104008023,190525.0618,1270597.577,3
63,6.401835973,2522527.869,5.286365646,6.11077883,193359.5586,1290561.87,3
64,6.419001826,2624229.575,5.292779181,6.117549636,196236.2251,1310839.852,3
65,6.436167678,2730031.626,5.299192716,6.124320443,199155.6885,1331436.453,3
66,6.453333531,2840099.338,5.305606251,6.13109125,202118.5856,1352356.678,3
67,6.470499383,2954604.692,5.312019785,6.137862057,205125.5627,1373605.613,3
68,6.487665236,3073726.602,5.31843332,6.144632864,208177.2754,1395188.423,3
69,6.504831088,3197651.194,5.324846855,6.151403671,211274.3893,1417110.352,3
70,6.521996941,3326572.1,5.33126039,6.158174477,214417.5799,1439376.731,3
71,6.539162793,3460690.76,5.337673925,6.164945284,217607.5326,1461992.97,3
72,6.556328646,3600216.732,5.344087459,6.171716091,220844.9432,1484964.568,3
73,6.573494498,3745368.025,5.350500994,6.178486898,224130.5177,1508297.107,3
74,6.590660351,3896371.437,5.356914529,6.185257705,227464.9726,1531996.259,3
75,6.607826204,4053462.91,5.363328064,6.192028512,230849.0352,1556067.785,3
76,6.624992056,4216887.9,5.369741599,6.198799319,234283.4435,1580517.535,3
77,6.642157909,4386901.756,5.376155134,6.205570125,237768.9465,1605351.453,3
78,6.659323761,4563770.126,5.382568668,6.212340932,241306.3043,1630575.574,3
79,6.676489614,4747769.363,5.388982203,6.219111739,244896.2884,1656196.029,3
80,6.693655466,4939186.968,5.395395738,6.225882546,248539.6818,1682219.047,3
81,6.710821319,5138322.027,5.401809273,6.232653353,252237.279,1708650.952,3
82,6.727987171,5345485.69,5.408222808,6.23942416,255989.8864,1735498.168,3
83,6.745153024,5561001.649,5.414636342,6.246194967,259798.3224,1762767.223,3
84,6.762318876,5785206.645,5.421049877,6.252965773,263663.4177,1790464.742,3
85,6.779484729,6018450.999,5.427463412,6.25973658,267586.0151,1818597.46,3
86,6.796650581,6261099.153,5.433876947,6.266507387,271566.9701,1847172.214,3
87,6.813816434,6513530.244,5.440290482,6.273278194,275607.151,1876195.949,3
88,6.830982287,6776138.694,5.446704017,6.280049001,279707.4388,1905675.72,3
89,6.848148139,7049334.828,5.453117551,6.286819808,283868.7278,1935618.693,3
90,6.865313992,7333545.513,5.459531086,6.293590614,288091.9254,1966032.146,3
91,6.882479844,7629214.827,5.465944621,6.300361421,292377.9529,1996923.47,3
92,6.899645697,7936804.753,5.472358156,6.307132228,296727.7448,2028300.175,3
93,6.916811549,8256795.897,5.478771691,6.313903035,301142.2498,2060169.888,3
94,6.933977402,8589688.245,5.485185225,6.320673842,305622.4307,2092540.353,3
95,6.951143254,8936001.938,5.49159876,6.327444649,310169.2645,2125419.441,3
96,6.968309107,9296278.092,5.498012295,6.334215456,314783.743,2158815.142,3
97,6.985474959,9671079.634,5.50442583,6.340986262,319466.8723,2192735.574,3
98,7.002640812,10060992.19,5.510839365,6.347757069,324219.674,2227188.981,3
99,7.019806664,10466625,5.5172529,6.354527876,329043.1844,2262183.738,3
0,5.320387263,209116,3.376873843,4.216758478,2381.627537,16472.46062,2
1,5.337553116,217547.0085,3.394134108,4.233297777,2478.18719,17111.882,2
2,5.354718968,226317.9331,3.411394372,4.249837076,2578.661715,17776.12419,2
3,5.371884821,235442.4784,3.428654637,4.266376375,2683.209835,18466.15067,2
4,5.389050673,244934.9014,3.445914902,4.282915674,2791.996708,19182.96232,2
5,5.406216526,254810.034,3.463175167,4.299454973,2905.194188,19927.59887,2
6,5.423382378,265083.306,3.480435431,4.315994271,3022.981096,20701.14043,2
7,5.440548231,275770.7694,3.497695696,4.33253357,3145.543505,21504.70902,2
8,5.457714083,286889.1233,3.514955961,4.349072869,3273.075029,22339.47021,2
9,5.474879936,298455.7401,3.532216226,4.365612168,3405.777136,23206.63482,2
