,log_population_district,population_district,log_total_frequency,log_total_distance,total_frequency,total_distance,code
58,6.31600671,2070173.335,5.879985165,6.969072441,758551.6632,9312631.997,3
59,6.333172563,2153637.293,5.890120077,6.973792323,776461.7692,9414392.985,3
60,6.350338415,2240466.298,5.900254989,6.978512205,794794.7493,9517265.935,3
61,6.367504268,2330796.021,5.910389902,6.983232086,813560.5881,9621262.998,3
62,6.384670121,2424767.601,5.920524814,6.987951968,832769.5056,9726396.458,3
63,6.401835973,2522527.869,5.930659726,6.992671849,852431.9635,9832678.732,3
64,6.419001826,2624229.575,5.940794638,6.997391731,872558.6701,9940122.374,3
65,6.436167678,2730031.626,5.95092955,7.002111613,893160.5869,10048740.07,3
66,6.453333531,2840099.338,5.961064463,7.006831494,914248.934,10158544.66,3
67,6.470499383,2954604.692,5.971199375,7.011551376,935835.1965,10269549.11,3
68,6.487665236,3073726.602,5.981334287,7.016271257,957931.1306,10381766.52,3
69,6.504831088,3197651.194,5.991469199,7.020991139,980548.7701,10495210.15,3
70,6.521996941,3326572.1,6.001604112,7.025711021,1003700.433,10609893.41,3
71,6.539162793,3460690.76,6.011739024,7.030430902,1027398.728,10725829.83,3
72,6.556328646,3600216.732,6.021873936,7.035150784,1051656.562,10843033.11,3
73,6.573494498,3745368.025,6.032008848,7.039870665,1076487.145,10961517.09,3
74,6.590660351,3896371.437,6.04214376,7.044590547,1101904.002,11081295.78,3
75,6.607826204,4053462.91,6.052278673,7.049310429,1127920.974,11202383.31,3
76,6.624992056,4216887.9,6.062413585,7.05403031,1154552.231,11324793.98,3
77,6.642157909,4386901.756,6.072548497,7.058750192,1181812.276,11448542.27,3
78,6.659323761,4563770.126,6.082683409,7.063470073,1209715.957,11573642.77,3
79,6.676489614,4747769.363,6.092818321,7.068189955,1238278.469,11700110.28,3
80,6.693655466,4939186.968,6.102953234,7.072909837,1267515.368,11827959.71,3
81,6.710821319,5138322.027,6.113088146,7.077629718,1297442.578,11957206.19,3
82,6.727987171,5345485.69,6.123223058,7.0823496,1328076.396,12087864.97,3
83,6.745153024,5561001.649,6.13335797,7.087069481,1359433.508,12219951.48,3
84,6.762318876,5785206.645,6.143492883,7.091789363,1391530.989,12353481.33,3
85,6.779484729,6018450.999,6.153627795,7.096509245,1424386.322,12488470.28,3
86,6.796650581,6261099.153,6.163762707,7.101229126,1458017.4,12624934.29,3
87,6.813816434,6513530.244,6.173897619,7.105949008,1492442.539,12762889.46,3
88,6.830982287,6776138.694,6.184032531,7.110668889,1527680.487,12902352.1,3
89,6.848148139,7049334.828,6.194167444,7.115388771,1563750.435,13043338.68,3
90,6.865313992,7333545.513,6.204302356,7.120108653,1600672.029,13185865.84,3
91,6.882479844,7629214.827,6.214437268,7.124828534,1638465.375,13329950.43,3
92,6.899645697,7936804.753,6.22457218,7.129548416,1677151.057,13475609.45,3
93,6.916811549,8256795.897,6.234707092,7.134268297,1716750.144,13622860.13,3
94,6.933977402,8589688.245,6.244842005,7.138988179,1757284.202,13771719.84,3
95,6.951143254,8936001.938,6.254976917,7.143708061,1798775.306,13922206.16,3
96,6.968309107,9296278.092,6.265111829,7.148427942,1841246.054,14074336.89,3
97,6.985474959,9671079.634,6.275246741,7.153147824,1884719.575,14228129.98,3
98,7.002640812,10060992.19,6.285381654,7.157867705,1929219.547,14383603.59,3
99,7.019806664,10466625,6.295516566,7.162587587,1974770.204,14540776.1,3
0,5.320387263,209116,4.219617672,5.469991741,16581.26545,295115.3105,2
1,5.337553116,217547.0085,4.234274566,5.481768075,17150.41233,303227.1437,2
2,5.354718968,226317.9331,4.24893146,5.493544409,17739.095,311561.9469,2
3,5.371884821,235442.4784,4.263588353,5.505320743,18347.98403,320125.8487,2
4,5.389050673,244934.9014,4.278245247,5.517097077,18977.77299,328925.1465,2
5,5.406216526,254810.034,4.292902141,5.528873411,19629.17926,337966.3105,2
6,5.423382378,265083.306,4.307559035,5.540649745,20302.94485,347255.989,2
7,5.440548231,275770.7694,4.322215929,5.552426078,20999.83724,356801.0128,2
8,5.457714083,286889.1233,4.336872823,5.564202412,21720.65026,366608.4006,2
9,5.474879936,298455.7401,4.351529717,5.575978746,22466.20495,376685.3641,2
10,5.492045788,310488.6925,4.36618661,5.58775508,23237.35059,387039.313,2
11,5.509211641,323006.7819,4.380843504,5.599531414,24034.96556,397677.8609,2
12,5.526377494,336029.5679,4.395500398,5.611307748,24859.95843,408608.8305,2
13,5.543543346,349577.3985,4.410157292,5.623084082,25713.26892,419840.2596,2
14,5.560709199,363671.442,4.424814186,5.634860416,26595.86904,431380.4069,2
15,5.577875051,378333.7204,4.43947108,5.64663675,27508.76413,443237.7582,2
16,5.595040904,393587.1434,4.454127973,5.658413084,28452.99408,455421.0325,2
17,5.612206756,409455.5444,4.468784867,5.670189417,29429.63442,467939.1884,2
18,5.629372609,425963.7177,4.483441761,5.681965751,30439.79765,480801.4308,2
19,5.646538461,443137.4572,4.498098655,5.693742085,31484.63443,494017.2175,2
20,5.663704314,461003.5968,4.512755549,5.705518419,32565.33491,507596.2666,2
21,5.680870166,479590.0524,4.527412443,5.717294753,33683.1301,521548.5629,2
22,5.698036019,498925.865,4.542069337,5.729071087,34839.29327,535884.3659,2
23,5.715201871,519041.2469,4.55672623,5.740847421,36035.14139,550614.2171,2
24,5.732367724,539967.6282,4.571383124,5.752623755,37272.03663,565748.9476,2
25,5.749533577,561737.7062,4.586040018,5.764400089,38551.38792,581299.6864,2
26,5.766699429,584385.4967,4.600696912,5.776176423,39874.65256,597277.8683,2
27,5.783865282,607946.3868,4.615353806,5.787952756,41243.33785,613695.2424,2
28,5.801031134,632457.19,4.6300107,5.79972909,42659.00285,630563.8808,2
29,5.818196987,657956.2046,4.644667594,5.811505424,44123.26012,647896.1873,2
30,5.835362839,684483.2725,4.659324487,5.823281758,45637.77757,665704.9069,2
31,5.852528692,712079.8422,4.673981381,5.835058092,47204.28037,684003.1347,2
32,5.869694544,740789.0332,4.688638275,5.846834426,48824.5529,702804.3258,2
33,5.886860397,770655.7034,4.703295169,5.85861076,50500.4408,722122.3052,2
34,5.904026249,801726.5195,4.717952063,5.870387094,52233.85303,741971.2778,2
35,5.921192102,834050.0293,4.732608957,5.882163428,54026.76411,762365.839,2
36,5.938357954,867676.7382,4.74726585,5.893939762,55881.21632,783320.9854,2
37,5.955523807,902659.1878,4.761922744,5.905716095,57799.32203,804852.1258,2
38,5.97268966,939052.038,4.776579638,5.917492429,59783.26614,826975.0926,2
39,5.989855512,976912.1524,4.791236532,5.929268763,61835.30852,849706.1532,2
40,6.007021365,1016298.687,4.805893426,5.941045097,63957.78663,873062.0225,2
41,6.024187217,1057273.184,4.82055032,5.952821431,66153.11816,897059.8744,2
42,6.04135307,1099899.665,4.835207214,5.964597765,68423.80377,921717.3551,2
43,6.058518922,1144244.734,4.849864107,5.976374099,70772.42998,947052.5959,2
44,6.075684775,1190377.679,4.864521001,5.988150433,73201.67206,973084.2264,2
45,6.092850627,1238370.584,4.879177895,5.999926767,75714.29714,999831.3882,2
46,6.11001648,1288298.437,4.893834789,6.011703101,78313.1673,1027313.749,2
47,6.127182332,1340239.25,4.908491683,6.023479434,81001.24289,1055551.518,2
48,6.144348185,1394274.18,4.923148577,6.035255768,83781.58586,1084565.457,2
